id,link,title,year,category,file
S0048969721026905,https://www.sciencedirect.com/science/article/pii/S0048969721026905,Three decades of regulation of agricultural nitrogen losses: Experiences from the Danish Agricultural Monitoring Program,2021,agriculture,S0048969721026905,https://www.sciencedirect.com/science/article/pii/S0048969721026905/pdfft?md5=c86c82e64570a17cc5641d7d27be75a3&pid=1-s2.0-S0048969721026905-main.pdf
S2666789421000428,https://www.sciencedirect.com/science/article/pii/S2666789421000428,Conserving fertilizer in China's rural-agricultural development: The reversal shifts and the county-specific EKC evidence from Hubei,2021,agriculture,S2666789421000428,https://www.sciencedirect.com/science/article/pii/S2666789421000428/pdfft?md5=a2583000a15a99fa042d1691411bd9fc&pid=1-s2.0-S2666789421000428-main.pdf
S0168169921002799,https://www.sciencedirect.com/science/article/pii/S0168169921002799,A multifunctional matching algorithm for sample design in agricultural plots,2021,agriculture,S0168169921002799,https://www.sciencedirect.com/science/article/pii/S0168169921002799/pdfft?md5=5fdff076146ed7a0f936da6349a54c03&pid=1-s2.0-S0168169921002799-main.pdf
S0306919220302256,https://www.sciencedirect.com/science/article/pii/S0306919220302256,Agricultural policy in the era of digitalisation,2021,agriculture,S0306919220302256,https://www.sciencedirect.com/science/article/pii/S0306919220302256/pdfft?md5=f2534e13bc3d6b16d383f136ff21c8ed&pid=1-s2.0-S0306919220302256-main.pdf
S0167880922001955,https://www.sciencedirect.com/science/article/pii/S0167880922001955,Spatiotemporal patterns of crop diversity reveal potential for diversification in Swedish agriculture,2022,agriculture,S0167880922001955,https://www.sciencedirect.com/science/article/pii/S0167880922001955/pdfft?md5=338ef64d307057af58daad0cbd48424b&pid=1-s2.0-S0167880922001955-main.pdf
S0301479722013639,https://www.sciencedirect.com/science/article/pii/S0301479722013639,UNESCO biosphere reserves show demand for multifunctional agriculture,2022,agriculture,S0301479722013639,https://www.sciencedirect.com/science/article/pii/S0301479722013639/pdfft?md5=312b8c303505b8b09364f19d6e875781&pid=1-s2.0-S0301479722013639-main.pdf
S0032579121003539,https://www.sciencedirect.com/science/article/pii/S0032579121003539,Integrated STEM and poultry science curriculum to increase agricultural literacy,2021,agriculture,S0032579121003539,https://www.sciencedirect.com/science/article/pii/S0032579121003539/pdfft?md5=a5cec55e3fb34d5c9dd48b546044b684&pid=1-s2.0-S0032579121003539-main.pdf
S0378377421001153,https://www.sciencedirect.com/science/article/pii/S0378377421001153,"Modelling the effects of climate change, agricultural inputs, cropping diversity, and environment on soil nitrogen and phosphorus: A case study in Saskatchewan, Canada",2021,agriculture,S0378377421001153,https://www.sciencedirect.com/science/article/pii/S0378377421001153/pdfft?md5=0d9dce3de373a86cac7d0eb863c00f78&pid=1-s2.0-S0378377421001153-main.pdf
S0305750X20304642,https://www.sciencedirect.com/science/article/pii/S0305750X20304642,Humanising agricultural extension: A review,2021,agriculture,S0305750X20304642,https://www.sciencedirect.com/science/article/pii/S0305750X20304642/pdfft?md5=39aad624bc0e6675e8fd95902cd115bc&pid=1-s2.0-S0305750X20304642-main.pdf
S0959652621026196,https://www.sciencedirect.com/science/article/pii/S0959652621026196,Greenhouse gas mitigation technologies in agriculture: Regional circumstances and interactions determine cost-effectiveness,2021,agriculture,S0959652621026196,https://www.sciencedirect.com/science/article/pii/S0959652621026196/pdfft?md5=c01c5cc743a3b5294dd89062dc0905bc&pid=1-s2.0-S0959652621026196-main.pdf
S2212827121009641,https://www.sciencedirect.com/science/article/pii/S2212827121009641,A location-allocation model of maintenance resources based on fault distribution for agricultural machinery maintenance service network,2021,agriculture,S2212827121009641,https://www.sciencedirect.com/science/article/pii/S2212827121009641/pdfft?md5=c2f0c810658ad0dfae7d8a3b3ebae7aa&pid=1-s2.0-S2212827121009641-main.pdf
S0167198722000022,https://www.sciencedirect.com/science/article/pii/S0167198722000022,Mapping time-to-trafficability for California agricultural soils after dormant season deep wetting,2022,agriculture,S0167198722000022,https://www.sciencedirect.com/science/article/pii/S0167198722000022/pdfft?md5=d01dcacd60f021142f9e3e312354b95f&pid=1-s2.0-S0167198722000022-main.pdf
S0167880921003522,https://www.sciencedirect.com/science/article/pii/S0167880921003522,Supporting wild pollinators in agricultural landscapes through targeted legume mixtures,2021,agriculture,S0167880921003522,https://www.sciencedirect.com/science/article/pii/S0167880921003522/pdfft?md5=ae51e86768b825a96a183b9e1b7ccd98&pid=1-s2.0-S0167880921003522-main.pdf
S2405844023024817,https://www.sciencedirect.com/science/article/pii/S2405844023024817,Water budget-salt balance model for calculating net water saving considering different non-conventional water resources in agricultural process,2023,agriculture,S2405844023024817,https://www.sciencedirect.com/science/article/pii/S2405844023024817/pdfft?md5=8b737ed47cf67d390a153abd45353d32&pid=1-s2.0-S2405844023024817-main.pdf
S0959652622044146,https://www.sciencedirect.com/science/article/pii/S0959652622044146,Modelling soil emissions and precision agriculture in fertilization life cycle assessment - A case study of wheat production in Austria,2022,agriculture,S0959652622044146,https://www.sciencedirect.com/science/article/pii/S0959652622044146/pdfft?md5=403ce9388ec884aa024aa598e25a49b1&pid=1-s2.0-S0959652622044146-main.pdf
S0308521X21000846,https://www.sciencedirect.com/science/article/pii/S0308521X21000846,Better before worse trajectories in food systems? An investigation of synergies and trade-offs through climate-smart agriculture and system dynamics,2021,agriculture,S0308521X21000846,https://www.sciencedirect.com/science/article/pii/S0308521X21000846/pdfft?md5=8d8017283e4a6e9926161b6e34258788&pid=1-s2.0-S0308521X21000846-main.pdf
S0308521X2030891X,https://www.sciencedirect.com/science/article/pii/S0308521X2030891X,Food security outcomes in agricultural systems models: Case examples and priority information needs,2020,agriculture,S0308521X2030891X,https://www.sciencedirect.com/science/article/pii/S0308521X2030891X/pdfft?md5=2cfba71cc478a917abaca74f55c9f5b4&pid=1-s2.0-S0308521X2030891X-main.pdf
S0040162520309860,https://www.sciencedirect.com/science/article/pii/S0040162520309860,Does cooperative membership increase and accelerate agricultural technology adoption? Empirical evidence from Zambia,2020,agriculture,S0040162520309860,https://www.sciencedirect.com/science/article/pii/S0040162520309860/pdfft?md5=288f9d9d163c36d19cbc2e16a1ba63f0&pid=1-s2.0-S0040162520309860-main.pdf
S2666049021000177,https://www.sciencedirect.com/science/article/pii/S2666049021000177,Planet friendly agriculture: Farming for people and the planet,2021,agriculture,S2666049021000177,https://www.sciencedirect.com/science/article/pii/S2666049021000177/pdfft?md5=936276688bf4d3cb15261de7db2fe90e&pid=1-s2.0-S2666049021000177-main.pdf
S0016706122003160,https://www.sciencedirect.com/science/article/pii/S0016706122003160,Conservation with elephants and agricultural intensification: effects on lignin and n-alkanes in soils of sub-Saharan Africa,2022,agriculture,S0016706122003160,https://www.sciencedirect.com/science/article/pii/S0016706122003160/pdfft?md5=756d9c77e56aa81fa6da8b895325f3a2&pid=1-s2.0-S0016706122003160-main.pdf
S0048969722054985,https://www.sciencedirect.com/science/article/pii/S0048969722054985,"Racial and social disparities in Ventura County, California related to agricultural pesticide applications and toxicity",2022,agriculture,S0048969722054985,https://www.sciencedirect.com/science/article/pii/S0048969722054985/pdfft?md5=83814b54bbfc00b0ff3e65a1082ac4ba&pid=1-s2.0-S0048969722054985-main.pdf
S0308521X21000706,https://www.sciencedirect.com/science/article/pii/S0308521X21000706,Conservation agriculture improves adaptive capacity of cropping systems to climate stress in Malawi,2021,agriculture,S0308521X21000706,https://www.sciencedirect.com/science/article/pii/S0308521X21000706/pdfft?md5=67b0ca4bd1d46ddcfc5255476639f3c4&pid=1-s2.0-S0308521X21000706-main.pdf
S2666049022000482,https://www.sciencedirect.com/science/article/pii/S2666049022000482,Can regenerative agriculture support successful adaptation to climate change and improved landscape health through building farmer self-efficacy and wellbeing?,2022,agriculture,S2666049022000482,https://www.sciencedirect.com/science/article/pii/S2666049022000482/pdfft?md5=6a2cc2171bdd2fb072817e0e9970c0d0&pid=1-s2.0-S2666049022000482-main.pdf
